Fund_ID,Fund_Name,Vintage_Year,Primary_Strategy,Sub_Strategy,total_commitment_usd,Comment
1,Pinnacle Tech Fund VI,2021,Private Equity,Growth Equity,6600000.00,"Focused on B2B SaaS in North America."
2,Apex Venture Partners III,2023,Venture Capital,Early-Stage VC,1600000.00,"High-conviction bets on AI/ML startups."
3,Global Buyout Capital X,2018,Private Equity,Leveraged Buyout (LBO),32500000.00,"Targets mature, industrial companies for operational improvement."
4,InfraStructure Builders I,2017,Infrastructure,Core/Value-Add,11600000.00,"Investment in renewable energy and transport assets."
5,Distress & Recovery Fund V,2020,Private Credit,Distressed Debt,4300000.00,"Special situations in cyclical industries."
6,Frontier HealthTech II,2024,Private Equity,Growth Equity,2900000.00,"Minority stakes in profitable European HealthTech firms."
7,Emerging Markets PE VII,2019,Private Equity,Buyout (EM),7300000.00,"Focused on consumer goods in Southeast Asia."
8,Mid-Market Value Fund IV,2022,Private Equity,LBO (Mid-Market),8500000.00,"Targets stable, regional service businesses."
9,Innovation Seed Fund I,2024,Venture Capital,Seed/Early-Stage VC,700000.00,"Pre-seed funding for university spin-outs."
10,Real Estate Alpha III,2016,Real Estate,Core-Plus,20500000.00,"Value-add commercial properties with stable cash flow."
11,BioPharma Growth Fund I,2023,Venture Capital,Late-Stage VC,3100000.00,"Investing in clinical-stage biopharma companies."
12,Infrastructure Credit Fund II,2022,Private Credit,Mezzanine Debt,5900000.00,"Debt financing for mid-sized infrastructure projects."
13,European Mid-Market II,2020,Private Equity,Growth Equity,14700000.00,"Growth capital for software businesses in the DACH region."
14,Venture Health Fund IV,2019,Venture Capital,Digital Health,2800000.00,"Focus on telehealth and healthcare IT."
15,Commodity Infrastructure III,2018,Infrastructure,Bulk & Energy,12500000.00,"Storage and transport assets for energy commodities."
16,Consumer Focus PE I,2024,Private Equity,Buyout,4800000.00,"Acquisition of small, regional consumer brands."
17,Real Estate Income VI,2021,Real Estate,Income-Focused,35000000.00,"High-yielding, stabilized multi-family assets."
18,PE Secondaries Fund V,2022,Secondaries,LP Interest,18400000.00,"Acquisition of Limited Partner stakes in older funds."
19,Impact Infrastructure I,2023,Infrastructure,Renewables,6700000.00,"Solar and wind energy projects with high ESG ratings."
20,APAC Growth Capital Fund III,2020,Private Equity,Growth Equity,9100000.00,"Minority investments across Southeast Asia."
21,Special Situations Credit I,2024,Private Credit,Special Situations,3300000.00,"Opportunistic lending for companies facing temporary distress."
22,US Technology Buyout IX,2017,Private Equity,LBO,45800000.00,"Large-cap software and services acquisitions."
23,Emerging Venture Seed I,2023,Venture Capital,Seed/Early-Stage VC,1100000.00,"Focus on emerging tech hubs outside major US metros."
24,European Core Real Estate IV,2020,Real Estate,Core,28900000.00,"Prime office and retail space in tier-one European cities."
25,Global Diversified Infra II,2021,Infrastructure,Diversified,15500000.00,"Mix of regulated utilities, pipelines, and transport."
26,Secondary Real Estate Fund II,2023,Secondaries,RE Secondaries,9300000.00,"Secondary transactions in real estate fund interests."
27,Private Credit Direct Lending III,2022,Private Credit,Direct Lending,7700000.00,"Senior secured debt to middle-market companies."
28,US Value Buyout XI,2019,Private Equity,LBO,27100000.00,"Traditional middle-market manufacturing and services."
29,Next-Gen Biotech Ventures,2024,Venture Capital,Early-Stage VC,4500000.00,"Focus on gene therapy and molecular diagnostics."
30,European Credit Opportunities,2020,Private Credit,Distressed Debt,6200000.00,"European non-performing loans and stressed debt."
31,APAC Infrastructure Growth I,2023,Infrastructure,Transport,8800000.00,"Ports, toll roads, and logistics infrastructure in Asia."
32,RE Value-Add Industrial III,2022,Real Estate,Value-Add,18100000.00,"Industrial properties (warehouses, flex space) for repositioning."
33,Mid-Cap Growth Buyout,2021,Private Equity,Growth Equity,12400000.00,"Growth-oriented buyouts in niche manufacturing."
34,FoF US Mid-Market VI,2020,Fund of Funds (FoF),US Mid-Market,22800000.00,"Diversified exposure to US private equity funds."
35,VC Secondaries Fund V,2023,Secondaries,VC Secondaries,7600000.00,"Acquiring older VC fund interests at a discount; focus on fund tail-ends."
36,European Logistics Fund V,2021,Real Estate,Core/Core-Plus,26300000.00,"Stabilized income-generating warehouse and distribution centers."
37,FoF Asia PE Select III,2022,Fund of Funds (FoF),Asia Focus,11600000.00,"Dedicated to primary commitments in top-quartile Asian GPs."
38,Real Estate Debt & Credit I,2024,Real Estate,Real Estate Debt,5400000.00,"Origination of mezzanine and bridge financing for commercial properties."
39,GP-Led Secondary Fund II,2023,Secondaries,GP-Led/Continuation,16200000.00,"Focus on single-asset continuation funds and multi-asset restructurings."
40,Digital Infrastructure REIT,2022,Infrastructure,Digital Assets,37300000.00,"Towers, data centers, and fiber optic cable assets."
41,FoF Latin America Strategy II,2021,Fund of Funds (FoF),Regional Focus,3500000.00,"Investment in PE funds with a deep focus on Brazil and Mexico."
42,RE Value-Add Multifamily IV,2024,Real Estate,Value-Add,14700000.00,"Acquiring apartment complexes for renovation in high-growth US metros."
43,Secondary Real Assets Fund I,2022,Secondaries,Real Assets,8500000.00,"Secondary transactions for Infrastructure and Real Estate funds."
44,Thematic FoF Health & Tech,2023,Fund of Funds (FoF),Thematic Focus,15300000.00,"Investment in funds focusing specifically on the health and technology sectors."
45,Private Credit CLO Equity I,2024,Private Credit,Structured Credit,9800000.00,"Equity tranche investments in collateralized loan obligations (CLOs)."
46,Global Natural Resources PE I,2021,Private Equity,Energy & Resources,10700000.00,"Mid-stream oil, gas, and mining services investments."
47,Emerging Markets Venture I,2023,Venture Capital,Regional Focus,2100000.00,"Early-stage investments in India and Southeast Asia startups."
48,Real Estate Development Fund II,2020,Real Estate,Development,13500000.00,"Ground-up development of mixed-use properties."
49,European Infrastructure Core II,2019,Infrastructure,Core,21700000.00,"Regulated utility assets in stable Northern European markets."
50,Mid-Market Services Buyout VI,2022,Private Equity,LBO,19500000.00,"Buyouts of B2B service companies in the US."